path;file_name;tipo;fecha;numero_factura;emisor;cif_emisor;cliente;cif;modelo;matricula;concepto;base;iva;importe;tasas;is_validated;procesado_en
C:/Users/temuh/OneDrive/Documentos/GitHub/lecturaFacturas/ultimasmandadas/invoice-82.pdf;invoice-82.pdf;COMPRA;21/11/2025;ES51Y7NBCAEUS;Amazon EU S.à r.l., Sucursal en España;W0184081H;NEWSATELITE S.L;B85629020;;;;17.95;3.77;21.72;;1;2026-01-02T11:05:29.945979
C:/Users/temuh/OneDrive/Documentos/GitHub/lecturaFacturas/ultimasmandadas/invoice-84.pdf;invoice-84.pdf;COMPRA;07/11/2025;ES51UJXXRAEUS;Amazon EU S.à r.l., Sucursal en España;W0184081H;NEWSATELITE S.L;B85629020;;;;13.97;2.93;16.9;;1;2026-01-02T11:07:33.702958
C:/Users/temuh/OneDrive/Documentos/GitHub/lecturaFacturas/ultimasmandadas/invoice-85.pdf;invoice-85.pdf;COMPRA;07/11/2025;ES5000U727681S;M-FACILITIES;ESN2503819A;NEWSATELITE S.L;B85629020;;;;111.57;23.43;135.0;;1;2026-01-02T11:11:11.006505
C:/Users/temuh/OneDrive/Documentos/GitHub/lecturaFacturas/ultimasmandadas/invoice-86.pdf;invoice-86.pdf;COMPRA;30/09/2025;ES51L1YPEAEUS;Amazon EU S.à r.l., Sucursal en España;W0184081H;NEWSATELITE S.L;B85629020;;;;11.91;2.5;14.41;;1;2026-01-02T11:12:48.199491
C:/Users/temuh/OneDrive/Documentos/GitHub/lecturaFacturas/ultimasmandadas/invoice-87.pdf;invoice-87.pdf;COMPRA;29/09/2025;ES51KRT3OAEUS;Amazon EU S.à r.l., Sucursal en España;W0184081H;NEWSATELITE S.L;B85629020;;;;11.56;2.43;13.99;;1;2026-01-02T11:14:04.700469
